customer_id,customer_name,customer_email,ship_to,customer_first,customer_last,ship_street,ship_unit,ship_city,ship_phone_number,ship_state,ship_zip_code,ship_country,product_0_name,product_0_sku
2363575133,John Lennon,jlennon09@gmail.com,John Lennon,John,Lennon,700 Oak Street,,Brockton,8327123569,MA,78746,US,20 MEALS WEEKLY,SQ5771426
2474350069,Paul McCartney,paulmac@gmail.com,Jane Asher,Jane,Asher,66-4 Parkhurst Rd,,Chelmsford,+15127755925 ,MA,78757,US,5 MEALS WEEKLY,SQ9747080
2344882115,George Harrison,georgeh@gmail.com,George Harrison,George,Harrison,4180 Us Hwy 431,,Roanoke,3619450789,AL,36274,US,5 MEALS WEEKLY,SQ9747080
2538166685,Richard Starkey,richard726@gmail.com,Richard Starkey,Richard,Starkey,13675 Hwy 43,,Russellville,5044950029,AL,35653,US,5 MEALS WEEKLY,SQ9747080
2440579136,Ringo Starr,iamstarr@gmail.com,Barbara Bach,Barbara,Bach,1095 Industrial Pkwy,,Saraland,(949) 4631736,AL,36571,US,10 MEALS WEEKLY,SQ2119288
2589884575,Keith Richards,guitarsrock@gmail.com,Keith Richards,Keith,Richards,24833 Johnt Reidprkw,Apt 721,Scottsboro,5124869946,AL,35768,US,5 MEALS WEEKLY,SQ9747080
1393153319,Mick Jagger,biglips@yahoo.com,Mick Jagger,Mick,Jagger,1501 Hwy 14 East,,Selma,5124170341,AL,36703,US,5 MEALS WEEKLY,SQ9747080
1533348906,Davy Jones,davy.jones@gmail.com,Davy Jones,Davy,Jones,7855 Moffett Rd,,Semmes,2103944508,AL,36575,US,5 MEALS WEEKLY,SQ9747080
2535178894,Michael Nesmith,michaeln@gmail.com,Michael Nesmith,Michael,Nesmith,150 Springville Station Blvd,,Springville,5125655937,AL,35146,US,5 MEALS WEEKLY,SQ9747080
2585196768,Peter Tork,pt@tork.com,Peter Tork,Peter,Tork,690 Hwy 78,927,Sumiton,(512) 657-4408,AL,35148,US,5 MEALS - ONE TIME,1 time 5 meals
2180073648,Mickey Dolenz,mdolenz3@gmail.com,Mickey Dolenz,Mickey,Dolenz,41301 US Hwy 280,,Sylacauga,5128976390,AL,35150,US,5 MEALS WEEKLY,SQ9747080
2475530046,Peter Townshend,peter.towshend@gmail.com,Peter Townshend,Peter,Townshend,214 Haynes Street,105,Talladega,512-423-4050,AL,35160,US,15 MEALS WEEKLY,SQ0225618
1962890650,Roger Daltrey,roger.daltrey@gmail.com,Roger Daltrey,Roger,Daltrey,1300 Gilmer Ave,,Tallassee,4156949887,AL,36078,US,5 MEALS WEEKLY,SQ9747080
2544526980,Keith Moon,ketihmoon1@gmail.com,Keith Moon,Keith,Moon,34301 Hwy 43,Unit A,Thomasville,2023021217,AL,36784,US,10 MEALS WEEKLY,SQ2119288
2336650926,John Entwistle,j_entwistle@gmail.com,John Entwistle,John,Entwistle,1420 Us 231 South,451,Troy,(703) 5779896,AL,36081,US,10 MEALS WEEKLY,SQ2119288
2544822040,Kenney Jones,kenney77@gmail.com,Kenney Jones,Kenney,Jones,1501 Skyland Blvd E,,Tuscaloosa,832 4656603 ,AL,35405,US,5 MEALS WEEKLY,SQ9747080
